Letter,Abbreviation,Definition
N,NTP,network time protocol
N,NTRU,Number Theory is Really Useful
N,NTSC,National Television System Committee
N,NTT," network topology template
 Nippon Telegraph and Telephone"
N,NUI,Natural User Interfaces 
N,NUMA,Non-Uniform Memory Access
N,NVE,Network Visible Entity
N,NZ-DSF,Non Zero-Dispersion-Shifted Fiber 
N,NaN,Not a Number
N,NetApp,Network Appliance
N,Netizen,citizen of the Internet
N,NiMH,Nickel Metal Hydride
N,net-J,Internet disc jockey
N,netbeui,NetBios Enhanced User Interface
N,newbie,New beginner
N,nicad,nickel-cadmium
N,no-op,no operation
N,ns,Nanosecond
O,O.K.I.,Open Knowledge Initiative 
O,O2,Object-Oriented
O,O2O,Online To Offline
O,OA&M,X
O,OAAM,Oracle Adaptive Access Manager
O,OADM,Optical Add/Drop Multiplexer
O,OAM,object access method
O,OAM&P,X
O,OASIS,Organization for the Advancement of Structured Information Standards
O,OAT,Outside Air Temperature
O,OATH,Object-oriented Abstract Type Hierarchy
O,OBDR,One Button Disaster Recovery
O,OBEX,OBject EXchange
O,OBI,Open Buying on the Internet
O,OBIEE,Oracle BI Enterprise Edition
O,OBM,On-board modem
O,OBOE,Off-By-One Error
O,OBU,On Board Unit 
O,OC,overclock
O,OC-N,Optical Carrier Level N
O,OCIA,Optically Coupled Interface Adapter
O,OCL,Object Constraint Language
O,OCP," Open-Closed Principle
 Oracle Certified Professional"
O,OCR,Optical Character Recognition
O,OCSP,"Online 
          Certificate Status Protoco"
O,OCTAVE,"Operationally Critical Threat, Asset, and Vulnerability Evaluation"
O,OCX,OLE Custom Controls
O,ODA,Open Document Architecture
O,ODBC,Open Database Connectivity
O,ODBO,OLE DB for OLAP
O,ODC,Offshore development center
O,ODD,optical disk drive
O,ODF,OpenDocument 
O,ODI,Open Data-link Interface
O,ODM,Original Design Manufacturer
O,ODMR,On-Demand Mail Relay
O,ODOE,on demand operating environment
O,ODP, Open Data Path
O,ODPS,On Demand Packaging Service
O,OEM," Oracle Enterprise Manager
 Original Equipment Manufacturer"
O,OEP,Outlook Exchange Protocol
O,OFB,output feedback 
O,OFCom,Office of Communications
O,OFDM,X
O,OFDMA,X
O,OFM,Oracle Fusion Middleware 
O,OFX,Open Financial Exchange
O,OGL,Open Graphics Language
O,OGSA,Open Grid Services Architecture
O,OHG,Operators Harmonization Group 
O,OIC,Oracle Incentive Compensation
O,OID,Object Identifier
O,OLAP,online analytical processing
O,OLE,Object Linking and Embedding
O,OLED,"organic light-
          emitting diode"
O,OLIC,online image copy
O,OLIVE,On-Line Interactive Virtual Environment
O,OLPC,One Laptop Per Child 
O,OLTP,On-Line Transaction Processing
O,OMA,Open Mashup Alliance
O,OMG,Object Management Group
O,OMH,order management hub 
O,OML,Ontology Markup Language
O,OMR,Optical Mark Reader
O,OMSA,OpenManage Server Administrator
O,OMT,Object Modeling Technique
O,ONA,Organizational network analysis
O,ONE,Open Net Environment
O,OO,object-oriented or object orientation
O,OOA&D,Object-oriented analysis and design 
O,OOB,Out Of Band
O,OODB,Object-Oriented Data Base
O,OOF,Out Of Frame
O,OOP,object-oriented programming
O,OOSE,Object Oriented Software Engineering
O,OOo,OpenOffice.org
O,OPA," Open  Patent  Alliance
 Oracle Policy Automation"
O,OPML,Outline Processor Markup Language
O,OPN,Oracle Partner Network
O,OPOD,Oracle Procurement On Demand 
O,OPS,Off Premise Station
O,OPX,Off Premise Extension
O,ORB,Object Request Broker
O,ORBS, Open Relay Behaviour-modification                   System
O,ORDB,Open Relay DataBase
O,ORF,Open reading frame
O,ORFS,Output Radio Frequency Spectrum
O,ORM," Object/Relational Mapping
 operational risk management"
O,OS,Operating System
O,OSA,Open System Architecture 
O,OSAF,Open Source Applications Foundation
O,OSD," On Screen Display
 Open Software Description"
O,OSDL,Open Source Development Lab
O,OSF,Open Software Foundation
O,OSGi,Open Services Gateway Initiative
O,OSI,Open Systems Interconnection
O,OSLC,"Open Services for Lifecycle 
          Collaboration"
O,OSMINE,Operations Systems Modification of Intelligent Network Elements
O,OSN,output sequence number
O,OSPF,Open Shortest Path First
O,OSPM,Operating System Power Management
O,OSS," Online Service System
 Open source software"
O,OSSIM, Open Source Security Information Management
O,OST,Outside Surface Temperature
O,OTA,Over The Air 
O,OTDR,Optical Time Domain Reflectometer 
O,OTFE,On-the-fly encryption
O,OTM,Oracle Transportation Management
O,OTN,Optical Transport Network
O,OTP," One Time Password
 one-time programmable
 Open Trading Protocol"
O,OTS,Over-the-Shoulder 
O,OU,organizational unit
O,OUI,Organizationally Unique Identifier 
O,OVF,Open Virtualization Format
O,OVP,online video platform
O,OWA,Outlook Web Access
O,OWASP, Open Web Application Security Project
O,OWI,Optimized Warehouse Initiative 
O,OWL,Web Ontology Language
O,OXE, OmniPCX Enterprise 
O,Opamp,Operational Amplifier
O,OpenCL,Open Computing Language
O,OpenGL,Open Graphics Library
O,op-code,Operation Code
P,P&S,Point And Shoot
P,P-x,Pentium - (numbers)
P,P2P,Peer to Peer
P,P2SC, Power 2 Super Chip
P,P3P,Platform for Privacy Preferences
P,P4M,Pentium 4 Processor-M
P,PA-QSA,Payment Application Qualified Security Assessor
P,PABX,X
P,PAC,Proxy Auto-Configuration
P,PACE,"pressures, action, capabilities and enablers"
P,PAD,Packet Assembler and Disassembler
P,PAE,Physical Addressing Extension
P,PAL," Phase Alternate Line
 Processor Abstraction Layer
 Publication Access List"
P,PAM," Performance Acceleration 
          Module
 Port to Application Mapping
 pluggable authentication module
 pulse amplitude modulation"
P,PAN,Personal Area Network
P,PAP," Password Authentication Protocol
 Printer Access Protocol"
P,PARC,Palo Alto Research Center
P,PASC,Portable Applications Standards Committee
P,PASV,Passive (command)
P,PAT," Performance Acceleration Technology
 port address translation"
P,PAVCL,Panda Antivirus Command-Line Scanner
P,PB,PetaByte
P,PBM,pharmacy benefits management
P,PBN,policy-based networking
P,PBX,private branch exchange
P,PC,Personal Computer
P,PCB,Printed Circuit Board
P,PCCW,(formerly) Pacific Century CyberWorks
P,PCD,Photo Compact Disc
P,PCI,Peripheral Component Interconnect
P,PCI DSS,Payment Card Industry Data Security Standard
P,PCI-E,Peripheral Component Interconnect - Express
P,PCL,Printer Command Language
P,PCM, Pulse Code Modulation
P,PCMCIA,Personal Computer Memory Card International Association
P,PCR,Peak Cell Rate
P,PCRE,Perl-compatible regular expressions
P,PCS,Personal Communications Service
P,PCT,Private Communication Technology
P,PDA,Personal Digital Assistant
P,PDB,Program DataBase
P,PDC," Personal digital cellular
 Primary Domain Controller"
P,PDE,possible duplicate emission
P,PDF,Portable Document Format
P,PDH,Plesiochronous Digital Hierarchy
P,PDL,Pure Dumb Luck
P,PDM,Pure Digital Monitor
P,PDN,public data network
P,PDP,Policy Decision Point
P,PDQ,Product Data Quality 
P,PDS,partitioned data set
P,PDU,Protocol Data Unit
P,PEAP,Protected Extensible Authentication Protocol
P,PEARL,Process and Experiment Automation Realtime Language
P,PEF, Preferred Executable Format
P,PEM,Privacy Enhanced Mail 
P,PEP," Policy Enforcement Point
 program entry procedure"
P,PERT,Program Evaluation and Review Technique
P,PET,Personal Electronic Transactor
P,PF Key,Program Function Key
P,PFM,personal financial management
P,PFS,Public-Key Forward Secrecy
P,PGI,"Premiere Global Services, Inc. "
P,PGP,Pretty Good Privacy
P,PGR,presentation graphics routines 
P,PHB,Per-Hop-Behavior
P,PHI,Protected Health Information
P,PHP,PHP Hypertext Preprocessor (originally Personal Home Page)
P,PHS,Personal Handy Phone System
P,PHY,Physical Layer
P,PHZIP,Phil Katz's ZIP
P,PIC,Position-Independent                   Code
P,PID," Process ID
 Proportional Integral Derivative"
P,PIE,"Presence, Identity and Edge"
P,PII,personally identifiable information
P,PIM," Personal Information Manager
 Protocol Independent Multicast"
P,PIN,personal identification number
P,PINE,Program for Internet News and E-Mail
P,PIO,Programmed Input/Output
P,PIO Mode,Data Transfer Rate (MBps) 
P,PIPE,Private Internet Protocol Encapsulation
P,PIPs,process integration packs
P,PIX,Private Internet eXchange
P,PKCS,Public-Key Cryptography Standards
P,PKI,public-key infrastructure
P,PL,Procedural Language
P,PL/1,Programming Language 1
P,PLA,Programmable Logic Array
P,PLC," PowerLine Communication
 product life cycle "
P,PLCP,Physical Layer Convergence Protocol
P,PLD,Programmable Logic Device
P,PLL,Phase Lock Loop
P,PLM,product life cycle management 
P,PLMN,public land mobile network
P,PLOGI,port login
P,PLPA,pageable link pack area
P,PMD,Physical Media Dependent
P,PMDB,performance management database 
P,PME,Power Management Event
P,PMI,"Portable Management Interface
Project Management InstitutePrivilege Management Infrastructure
Product and manufacturing information
"
P,PMM,Post Memory Manager
P,PMML,Predictive Model Markup Language
P,PMO,Project management office
P,PMR," Perpendicular Magnetic Recording
 Private Mobile Radio "
P,PMSM,permanent magnet synchronous motors
P,PNG,Portable Network Graphics
P,PNP,Personal Network Platform
P,PNRP,Peer Name Resolution Protocol
P,POC," Proof of Concept
 Push-to-talk Over Cellular "
P,POD," Proof of Deposit
 Publishing on demand"
P,POLP,principle of least privilege
P,PON,passive optical networking 
P,POP," Point of Presence
 Post Office Protocol
 protected object policy"
P,POP3,Post Office Protocol v3
P,POS,point of sale
P,POSIX, Portable Operating System Interface for UNIX
P,POST,power-on self test
P,POTS,Plain Old Telephone Service 
P,POWER,Performance Optimization With Enhanced Risc
P,POX,plain old XML
P,PPC,Pay-Per-Click
P,PPD,Postscript Printer Description 
P,PPE,PowerPC Processor Element 
P,PPM," Parts  Per Million
 project portfolio management"
P,PPN,Primary Port Network
P,PPP," Point to Point Protocol
 Publicâprivate partnership"
P,PPPoE,Point-to-Point Protocol over Ethernet
P,PPRC,Peer to Peer Remote Copy
P,PPTP,Point-to-Point Tunneling Protocol
P,PPU,PowerPC Processor Unit
P,PQA,Palm Query Application
P,PRADO,PHP Rapid Application Development Object-oriented
P,PRC,Primary Reference Clock
P,PRI,Primary Rate Interface
P,PRINCE,Projects in Controlled Environments
P,PROM,Programmable ROM
P,PRPQ,programming request for price quotation 
P,PS,"PlayStationPostScript
Photoshop"
P,PS/2,personal system/2
P,PSA,"professional service 
          automation "
P,PSD,PhotoShop Drawing
P,PSIP,Program and Systems Information Protocol
P,PSK,phase shift keying
P,PSLC,Parallel Sysplex License Charge
P,PSN," Packet Switch Node
 Playstation Network
 Processor Serial Number"
P,PSP," Personal Software Process
 PlayStation Portable"
P,PSPs,print service providers
P,PSS,Print SubSystem
P,PSTN,public switched telephone network
P,PTF,Print To Fax
P,PTR record, Pointer record
P,PTT," Push To Talk
 Postal, Telephone, and Telegraph"
P,PTTs,"Post, telegraph, and telephone authorities"
P,PTZ,pan-tilt-zoom
P,PUMA," Privileged user monitoring and auditing
 Protected User Mode Audio"
P,PUP,Potentially unwanted program
P,PUT,program update tape
P,PVC," permanent virtual circuit
 Polyvinyl Chloride"
P,PVR,personal video recorder
P,PVST,Per-VLAN Spanning Tree
P,PVV,PIN verification value
P,PWM,Pulse width modulation
P,PWR,PoWeR
P,PWS, Personal Web Server (or Peer Web Services )
P,PXE,Preboot eXecution Environment
P,PaRM,Patient relationship management
P,PaaS,platform-as-a-service 
P,Perl,Practical Extraction and Report Language
P,PiB,pebibyte 
P,Picnic,"Problem In Chair, Not In Computer"
P,PnP,Plug and Play
P,PoE,Power Over Ethernet
P,p2mp,point-to-multipoint
P,pNFS,parallel Network File System
P,pel,X
P,pgSQL,PostgreSQL 
P,ping,Packet Internet or Inter-Network Groper
P,pixel,X
P,pog.com,Play Online Games
P,ps,Picosecond
Q,QA,Quality Assurance
Q,QAM,quadrature amplitude modulation
Q,QAT,Quantity Above Threshold Indicator 
Q,QB," QuickBASIC
 Quickbooks"
Q,QBDG,Query Based Distribution Group
Q,QBDL,Query Based Distribution List
Q,QBL,Query By Example
Q,QCIF,Quarter Common Intermediate Format
Q,QD,Queuing Delay
Q,QDF,Quicken Data File
Q,QDOS,Quick And Dirty Operating System
Q,QDR,Quad Data Rate
Q,QEMM,Quarterdeck Expanded Memory Manager
Q,QFE,Quick Fix Engineering 
Q,QFP,Quoted For Permanence
Q,QI,Query Interface
Q,QIF,Quicken Interchange Format
Q,QIP,quality improvement process
Q,QIX,NASDAQ Information Exchange protocol
Q,QLLC,Qualified Logical Link Control protocol
Q,QMF,Query Management Facility
Q,QMS,Quality Micro Systems
Q,QName,qualified name
Q,QP,Quantum Programming
Q,QPM,QoS Policy Manager
Q,QPS,Queries-per-second
Q,QPSK,Quadrature Phase-Shift Keying
Q,QR code,Quick Response code
Q,QSA,Qualified Security Assessor
Q,QSIG,Q signaling
Q,QT,QuickTime
Q,QTM,Quadratic Texture Mapping
Q,QTSS, QuickTime Streaming Server
Q,QTVR,QuickTime Virtual Reality
Q,QTW,QuickTime for Windows
Q,QVGA,Quarter Video Graphics Array
Q,QXGA, Quad ((or Quantum) eXtended Graphics Array
Q,QoE,quality of experience
Q,QoS,quality of service
Q,Quagi,quad and Yagi 
Q,qic,Quarter-Inch Cartridge
R,R&D,research and development
R,R-NE,remote-network element 
R,R-UIM,removable user identity module
R,RAB," Raid Advisory Board
 Reverse-Link Activity Bit "
R,RAC,Real Application Cluster
R,RACF,Resource Access Control Facility
R,RACH,Random Access Channel
R,RAD," radiation absorbed dose
 Rapid Application Development"
R,RADA,random access discrete address
R,RADCAB,Relevancy Appropriateness Detail Currency Authority Bias 
R,RADIUS,Remote Authentication Dial-In User Service
R,RADSL,Reverse ADSL
R,RADVD, router advertisement daemon
R,RAI,remote alarm indication
R,RAID,Redundant Array of Independent Disks
R,RAM,Random Access Memory
R,RAMDAC," Random Access Memory Digital to 
          Analog Converter"
R,RAN,Radio Access Network
R,RAPI,"Rsvp Application Programming 
          Interface"
R,RARE," Reseaux AssociÃ©s pour la Recherche 
          EuropÃ©enne"
R,RARP,Reverse Address Resolution Protocol
R,RAS," Registration, Admission, Status 
 remote-access server (services)
 Row Address Select
 Row Address Strobe
 Remote Announcing System"
R,RAT,Remote Administration Tool
R,RBA,Run Book Automation 
R,RBAC,role-based access control
R,RBL,Real-time Black-hole List or Real-time Block List
R,RBOC,Regional Bell Operating Company
R,RC,Release Candidate
R,RC2/4/5,Rivest Cipher 2/4/5
R,RCA,Radio Corporation of America (cables)
R,RCC,radio common carrier
R,RCM,Revision and Configuration Management
R,RCP,Rich Client Platform
R,RCS,Revision Control System
R,RCU, Rapid Cloning Utility 
R,RDAC,Redundant Disk Array Controller
R,RDBA,Remote Database Access
R,RDBMS,relational database management system
R,RDDL,"Resource Directory Description 
          Language"
R,RDF," radio direction-finding 
 Resource Description Framework"
R,RDI,remote defect indication
R,RDL,Report Definition Language
R,RDM,Remote Deployment Manager
R,RDP," Remote Desktop Protocol 
 Router Discovery Protocol"
R,RDR,Rate of Defect Recurrence
R,RDT,remote digital terminal 
R,RED," Random Early Detection
 Reputation Enabled Defense"
R,REG,Range Extender with Gain
R,REJ,Reject. In communications
R,REL,Rights Expression Language
R,RELAX,REgular LAnguage description for Xml
R,REN,Ringer Equivalency Number
R,RES,Robots Exclusion Standard
R,REST,REpresentational State Transfer
R,RETAIN,Remote Technical Assistance and Information Network
R,REVS,Rapid Exchange of Virus Samples list. 
R,REXX,Restructured EXtended eXecutor
R,RF,Radio frequency
R,RFB,Remote Framebuffer 
R,RFC," radio-frequency choke
 Request For Comments"
R,RFCOMM,Radio Frequency Communication
R,RFI,remote failure indication
R,RFID,radio frequency identification
R,RFMD,RF Micro Devices
R,RFP,Request For Proposal
R,RFS,X
R,RFT," Request For Technology
 revisable-form text "
R,RFU,X
R,RGB,Red/Green/Blue
R,RGMP,Router-port Group Management Protocol
R,RHCE,Red Hat Certified Engineer
R,RHCS,Red Hat Cluster Suite
R,RHEL,Red Hat Enterprise Linux
R,RHR,radio horizon range 
R,RHSBL,Right-Hand Side Blacklist
R,RIA,Rich Internet Application
R,RIM," Reference Information Model
 Research In Motion"
R,RIMM,Rambus In-Line Memory Module
R,RIP," raster image processor
 Routing Information Protocol"
R,RIPE,RÃ©seaux IP EuropÃ©ens 
R,RIR,regional Internet registry
R,RISC, Reduced Instruction Set Computer
R,RJ11,Registered Jack 11
R,RJ45,Registered Jack 45
R,RJE,Remote Job Entry
R,RLC,Radio Link Control 
R,RLE,run-length encoding
R,RLL,Run Length Limited
R,RLP,Radio Link Protocol
R,RMA," rate monotonic analysis
 Return Materials Authorization"
R,RMC,"  Raptor Management Console
 Resource Monitoring and Control"
R,RME," Rack Mount Equipment
 resource model engine "
R,RMI,Remote Method Invocation
R,RMON,Remote Monitoring
R,RMS," Record Management            System
 Right Management Service 
 Root Mean Square"
R,RMU,Rack Mount Unit
R,RNA," Ribonucleic acids
 Ring No Answer"
R,RNC,Radio Network Controller
R,RNI, Raw Native Interface
R,RNR,receive not ready
R,ROA,recognized operating agency
R,ROADM,reconfigurable optical add-drop multiplexer
R,ROD,record oriented data 
R,RODM,Resource Object Data Manager
R,ROI,Return on Investment
R,ROKSO,Register of Known Spam Operations
R,ROLR,receive objective loudness rating 
R,ROM," read-only memory
 Report Object Model"
R,ROOM,Real-Time Object-Oriented                                                     Modeling
R,ROP,Raster Operation
R,ROR,remote outdoor router
R,ROS,run of site
R,ROSE,Remote Operations Service Element
R,RP-SMA,Reverse Polarity SubMiniature version A
R,RP-TNC,Reverse Polarity Threaded Neill-Concelman 
R,RPA, Recursive  Pyramid  Algorithm
R,RPC,Remote Procedure Call
R,RPF,Reverse Path Forwarding
R,RPG," Report Program Generator
 role-playing game"
R,RPI,Rockwell Protocol Interface
R,RPL," Remote Program Load
 Requested Privilege Level
 Recognized Prior Learning"
R,RPM," Rapid Predictive Modeler 
 Red Hat Package Manager
 Revolutions Per Minute
 Route Processor Module"
R,RPN,Reverse Polish Notation
R,RPO,recovery point objective
R,RPP,receiving party pays
R,RPR,Resilient packet ring
R,RPT,radio personal terminal 
R,RQN,Real-Quick Newsletter
R,RR," Register to Register
 repeatable read"
R,RRI,Reverse Rate Indicator
R,RRPP,Rapid Ring Protection Protocol
R,RRS,X
R,RR_TOV,resource recovery timeout value
R,RS," Recommended Standard
 Reed-Solomon
 Remote Scripting
 RuneScape
"
R,RS-MMC,Reduced Size Multi-Media Card
R,RSA," Remote Supervisor Adapter
 register save area 
 Rivest, Shamir and Adleman
 rural service area"
R,RSBAC,Rule Set Based Access Control 
R,RSCT,Reliable Scalable Cluster Technology 
R,RSIP,Realm Specific Internet Protocol
R,RSL,received signal level
R,RSM," Relational Storage Manager
 Remote Storage Management
 Route Switch Module"
R,RSN,Real Soon Now
R,RSPAN,Remote Switched Port Analyzer
R,RSS,"  RDF Site Summary / Really Simple Syndication
  Receive Side Scaling
  Relay Spam Stopper"
R,RSSI,Relative Signal Strength Indicator
R,RSU,"  Recommended Service Upgrade
  remote switching unit "
R,RSVP,Resource Reservation Protocol
R,RTC,Rich Thin Client
R,RTD,Real-Time  Decisions 
R,RTE," real-time enterprise
 round-trip engineering"
R,RTF,Rich Text Format
R,RTG,"  Radioisotope Thermoelectric Generators
  Receive/transmit Transition Gap"
R,RTGS,Radioisotope Thermoelectric Generators
R,RTK,Real Time Kinematic
R,RTM,Read The Manual
R,RTMP,routing table maintenance protocol
R,RTO,recovery time objective
R,RTP, Real-Time Transport Protocol
R,RTS,request to send 
R,RTSC,Read the Source Code
R,RTSE,Reliable Transfer Service Element
R,RTSP,Real Time Streaming Protocol
R,RTT," Radio Transmission Technology
 Real-Time Technology
 round-trip time"
R,RTTY,radio teletypewriter
R,RTU," Remote Terminal Unit 
 Right To Use"
R,RUOW,remote unit of work
R,RUP,Rational Unified Process
R,RUS,Recipient Update Service
R,RVI,Reverse Interrupt
R,RVLC,Reversible Variable Length Code
R,RW,Read Write
R,RWI,radio and wire integration 
R,RWM,Read-Write Memory
R,RWP,Remote Write Protocol
R,RWU,remote wake-up
R,RX,X
R,RXD,X
R,R_A_TOV,resource allocation timeout value
R,ReGS,Reporting Grid Services
R,RePDV,Reputation Digital Vaccine 
R,Rel,Recorder element
R,Res,resolution 
R,RoHS,Restriction of Hazardous Substances
R,RoR,Ruby on Rails 
R,rDNS,Reverse DNS
R,racon,radar beacon
R,rcp,Remote copy
R,rlogin,remote login
R,rot13,rotate 13
R,rsh,Remote Shell Protocol
R,rtPS,Real-Time Polling Service
S," Service Advertising Protocol
 Secondary Audio Program
 Systeme, Anwendungen, Produkte"," Novell's Protocol provides information about                        what servers are available on the network. 
 An NTSC audio channel used for auxiliary transmission, such as foreign language broadcasting or teletext. 
 A german company that produces the leading suite of client-server business software (""Systems, Applications and Products in data processing""). www.sap.com"
S,S+,Security+
S,S-HTTP,Secure Hypertext Transport Protocol
S,S-Video, Super-Video / Sony Video
S,S/N,Signal-to-Noise
S,S/PDIF,Sony/Philips Digital Interface
S,S/W,X
S,S3,Simple Storage System
S,SA,"System Administrator
Source-Active"
S,SAA,Systems Application                                                   Architecture
S,SAD,Security Association Database
S,SAIC,Science Applications International Corporation
S,SALT,Speech Application Language Tags
S,SAM," security account manager
 Serial Access Memory
 software asset management"
S,SAML,Security Assertion Markup Language
S,SAN,X
S,SANS," SysAdmin, Audit, Network, Security 
  System Administration, Networking and Security institute"
S,SANs,X
S,SAP,Service Access Point
S,SAR,segmentation and reassembly
S,SAS," Secure Attention Sequence
 Serial Attached SCSI
 single attachment station
 Statistical Analysis System"
S,SAS 70,Statement on Auditing Standards No. 70
S,SASL, Simple Authentication and Security Layer
S,SAST,Static application security testing
S,SATA,Serial ATA
S,SAV,Symantec AntiVirus
S,SAX,Simple API for XML
S,SB,Sound Blaster
S,SBAS, Satellite-Based Augmentation System
S,SBB, Storage Bridge Bay
S,SBC," Session Border Controller
 single-board computer"
S,SBCS," single-byte character set
 Smart Business Communications 
                  System"
S,SBL,Spamhaus Block List
S,SBLOG,spam blog
S,SBM,Subnet Bandwidth Manager
S,SBS,Small Business Server
S,SBSD,Slow But Sure Death
S,SCA,Service component architecture
S,SCADA,Supervisory Control And Data Acquisition
S,SCAI,Switch-to-Computer Applications Interface
S,SCAM,SCSI Configured Auto-Magically
S,SCCM,Software change and configuration  management
S,SCCP,Signaling Connection and Control Part
S,SCCS,Source Code Control System
S,SCM," Service Control Manager 
 Specifc Coverage Metric
 Source Code Management
 Source configuration management
 supply chain management"
S,SCO,Santa Cruz Operation
S,SCOM,System Center Operation Manager
S,SCORM,Sharable Courseware Object Reference Model
S,SCP," Secure Copy
 Service/Signal Control Point"
S,SCPC,single channel per carrier
S,SCR,Sustainable Cell Rate
S,SCSI,Small Computer System Interface
S,SCSL,Sun Community Source Licensing
S,SCTP, Stream Control Transmission Protocol
S,SCWCD,Sun Certified Web Component Developer
S,SD," Sales and Distribution 
 Secure Digital
 Span Destination"
S,SDDL,Security Descriptor Definition Language 
S,SDDM,source distributed data manager 
S,SDDS,Sony Dynamic Digital Sound
S,SDEP,sequential dependent segment
S,SDFI,Secure Digital Forensic Imaging
S,SDH," Synchronous Data Hierarchy
 Synchronous Digital Hierarchy"
S,SDK,software development kit
S,SDLC," Software development life cycle
 Synchronous Data Link Control"
S,SDLT,Super Digital Linear Tape
S,SDMA,spatial division multiple access
S,SDN," Secondary Directory Number
 Software Defined Network"
S,SDO,Service Data Objects
S,SDP, Session Description Protocol
S,SDR,software-defined radio
S,SDRAM,Synchronous Dynamic Random Access Memory
S,SDS,Sudden Death Syndrome
S,SDSL,Symmetric Digital Subscriber Line
S,SDTV,Standard Definition television 
S,SDVO,Serial Digital Video Output
S,SDX,Storage Data Acceleration
S,SE,secure element
S,SEA-ME-WE,Southeast Asia-Middle East-Western Europe 2
S,SEA-ME-WE 3,Southeast Asia-Middle East-Western Europe 3
S,SEAL,simple and efficient AAL
S,SEAS,SaaS-enabled application server
S,SEC,Siemens Enterprise Communications
S,SECAM,Sequential Couleur a Memoire
S,SEG,secure e-mail gateway
S,SEM,Strategic Enterprise Management
S,SEN,Siemens Enterprise Communications 
S,SEO,Search Engine Optimization
S,SERK,Server Extensions Resource Kit
S,SERP,Search Engine Results Page
S,SES," SecureEasySetup
 Severely Errored Seconds"
S,SET,Secure Electronic Transaction
S,SETI,Search of Extraterrestrial Intelligence
S,SEX,Sun Users' Group & elsewhere 
S,SFA,Sales Force Automation
S,SFD,Start-of-Frame Delimiter
S,SFF,Small Form Factor
S,SFP,Small Form-factor Pluggable
S,SFTP,"SSH  File Transfer Protocol
(or Program)"
S,SFU, Services For Unix
S,SGC, Server Gated Cryptology
S,SGF,Structured Graphics Format
S,SGI,Silicon Graphics Incorporated
S,SGML,Standard Generalized Markup Language
S,SGRAM,Synchronous Graphics Random Access memory 
S,SGSN,Service GPRS Support Node
S,SHA,Secure Hash Algorithm
S,SI," system integration
 system integrator"
S,SID,Security Identifier 
S,SIEM (SEM & SIM),Security Information and Event Management
S,SIIA, Software & Information Industry Association
S,SIIT,Stateless Ip/Icmp Translation algorithm
S,SIL,Safety Integrity Level 
S,SIM," Security Information Management
 subscriber identity module"
S,SIMD,Single Instruction Multiple Data
S,SIMM,single in-line memory module
S,SIP,Session Initiation Protocol
S,SIPP,Stable Image Platform Program
S,SIS," Single Instance Store
 student information system"
S,SISMAPI,Siebel Internet Session Network API
S,SITA,Societe Internationale de Telecommunications Aeronautiques
S,SIU,smallest installable unit
S,SIX,Shared with Intent eXclusive
S,SKMS,Service Knowledge Management System
S,SKU,Stock Keeping Unit
S,SL,Scientific Linux 
S,SLA,Service Level Agreement
S,SLI,Scalable Link Interface
S,SLIC,Subscriber Line Interface Card
S,SLIP,Serial Line Internet Protocol
S,SLM,service level management
S,SLP DA, Service Location Protocol Directory Agent
S,SLR,Scalable Linear Recording
S,SLS,Softlanding Linux System
S,SLSI,Super Large Scale of Integration
S,SM/SI,Social Mining and Social Intelligence
S,SMART,Self-Monitoring Analysis And Reporting Technology
S,SMASH,"Simple, Many And Self-Healing"
S,SMATV,satellite master antenna television
S,SMB,Server Message Block
S,SMBP, Server Message Block Protocol
S,SMD,Storage Module Device
S,SMDR,station message detail recording 
S,SMDS,Switched Multimegabit Data Service
S,SMF,Semantic Modelling Format
S,SMI,Structure of Management Information
S,SMLT,Split Multi-Link Trunking
S,SMP," Simple Management Protocol
 Symetric MultiProcessing"
S,SMS,"  Security Management System
 Short Message Service
 Systems Management Server "
S,SMSC," Short Messaging Service Center
 Smart Mixed-Signal Connectivity"
S,SMSI,Simplified Message Service Interface
S,SMTP,Simple Mail Transfer Protocol
S,SMiShing ,SMS phishing
S,SN,Sequence Number
S,SNA," Social Network Analysis
 Systems Network Architecture"
S,SNAP,Sub-Network Access Protocol 
S,SNC,Supply Network Collaboration 
S,SNI,Switch Node Interface
S,SNIPS,System & Network Integrated Polling Software
S,SNMP,Simple Network Management Protocol
S,SNS,social networking site
S,SOA,"Service Oriented Architecture
Start of Authority"
S,SOAP,Simple Object Access Protocol
S,SOC," Security Operation Centre
 Separation Of Concerns"
S,SOCKS, SOCKetS
S,SODIMM,Small Outline Dual Inline Memory Module
S,SOH,Start Of Header
S,SOM,Self-Organizing Map
S,SONET,Synchronous Optical Network
S,SONIC,"Science Of Networks In Communities
SAC On-Line Interactive Controller"
S,SORBS,Spam and Open Relay Blocking System
S,SOS,"Sophisticated Operating System
Symbian Operating System
Secure Object Store"
S,SOW,statement of work
S,SOX,Sarbanes-Oxley Act
S,SP," Service-Packs
 storage processor"
S,SPAN,Switched Port Analyzer
S,SPARC,Scalable Processor ARChitecture
S,SPB,Stored Procedure Builder
S,SPC,stored program control 
S,SPD," Serial Presence Detect
 System Products Division"
S,SPE," Synergistic Processor Element 
 System Policy Editor"
S,SPF," Sender Policy Framework
 Shortest Path First"
S,SPI," Serial Peripheral                   Interface
 Stateful Packet Inspection "
S,SPICE,Simple Protocol for Independent Computing Environment
S,SPIM,Spam over Instant Messaging 
S,SPIT,Spam over   Internet Telephony
